,PDB code,Resolution (A),Bnet
98,7RE9,2.77,10.08050939
99,5N5Q,2.53,10.07629425
100,7PYQ,1.6,10.0599547
101,3IQT,1.4,9.969937765
102,4ANG,3.5,9.808233095
103,5KM6,1.6,9.8070618
104,4C83,2.69,9.781515906
105,5KMB,1.6,9.771267015
106,9J89,1.58,9.710447883
107,4GBT,3.2,9.685203452
108,5NF7,1.59,9.680825559
109,5CJB,2.4,9.680231763
110,1H68,2.1,9.65725407
111,5CT9,1.4,9.645621491
112,6K30,2.68,9.64093073
113,4R3S,1.7,9.473000929
114,4OCH,1.4,9.438263201
115,8VMR,1.5,9.435860599
116,4H87,1.55,9.423277543
117,2GBK,1.99,9.355939308
118,3VDK,1.85,9.333959087
119,1VJG,2.01,9.316858212
120,6E6Q,1.2,9.312198005
121,6MCT,1.9,9.309139604
122,2XMM,1.65,9.249983513
123,5ND0,1.45,9.239546591
124,2IT5,2.4,9.218657686
125,7Z6N,2.57,9.180760225
126,5BR2,1.8,9.119310104
127,6TC2,1.36,9.118397606
128,7U01,2.3,9.106059595
129,6IDS,2.79,9.100172873
130,5NFA,1.59,9.081762863
131,1R29,1.3,9.073748681
132,7RKD,1.25,9.073706831
133,6M34,2.9,9.071016904
134,6B3C,1.6,9.0054654
135,3W8E,1.24,8.992349746
136,3TI6,1.69,8.968494456
137,7R8T,1.37,8.913648805
138,6B5L,2.4,8.911602421
139,6GDW,1.8,8.881618189
140,6GS7,3.3,8.874409461
141,4HU6,2.3,8.828608863
142,6YU4,2.26,8.828461656
143,6VCU,1.69,8.822482648
144,7E4V,1.37,8.777262822
145,8XAO,2.05,8.757515764
146,8VN6,1.54,8.75475995
147,3IXL,1.45,8.748943735
148,4QWO,1.52,8.74157248
149,5GOB,1.15,8.739121855
150,3DS0,1.6,8.736296492
151,5MH2,1.3,8.730896073
152,6HOL,1.4,8.71669435
153,5VYB,2.4,8.649574006
154,7NBI,1.65,8.637217211
155,6GPS,3.3,8.627354176
156,7KPK,1.71,8.614612563
157,6L7Y,2.51,8.605333519
158,2J2J,1.5,8.591702267
159,5X88,1.76,8.579419167
160,1WWI,1.58,8.575371098
161,6BZA,2.6,8.523277339
162,1RYQ,1.38,8.507009321
163,8CJ0,1.99,8.503054587
164,4BHM,2.7,8.482465658
165,9ZDO,0.84,8.462536488
166,3VQF,1.2,8.452322143
167,6MTQ,2.7,8.449252724
168,6S92,1.93,8.44612697
169,6TRI,2.28,8.443805717
170,7PZ2,1.58,8.443798482
171,8DBB,1.3,8.43054653
172,5ZBX,2.58,8.422621424
173,7RLW,2.54,8.415796378
174,7CNB,2.32,8.406594758
175,3GWW,2.46,8.362630007
176,5WF5,2.6,8.34542145
177,4IVS,2.64,8.320416801
178,4LP9,1.35,8.317142551
179,4YZI,2.5,8.270814417
180,6L8P,1.6,8.255135762
181,6P4C,1.85,8.25035796
182,4ZET,2.9,8.236467973
183,2WJK,2.3,8.221295376
184,6YPR,1.26,8.212589802
185,4Z23,2.45,8.204704995
186,2NUO,1.5,8.19006727
187,6LOW,1.39,8.186457308
188,8K1R,2.6,8.160381085
189,6AQF,2.51,8.152191091
190,3RA2,2.7,8.124783793
191,5YTL,1.4,8.09637149
192,6BFQ,2.6,8.092530993
193,2WRA,1.1,8.063680331
194,1L0G,1.5,8.056727622
195,7CUV,1.45,8.04035835
196,5IA8,2,8.03551303
197,4P65,1.5,8.031723971
198,5FSI,1.63,8.02873208
199,4OR8,2.65,7.998663268
200,2J8B,1.15,7.994407712
201,4OZJ,1.45,7.971057632
202,8CSH,2.25,7.95856788
203,4MAX,1.44,7.956089422
204,5IMD,1.16,7.927015958
205,4FP5,1.4,7.921833758
206,8VNG,1.6,7.912145728
207,8VNJ,1.61,7.911138914
208,5UDP,1.35,7.902108602
209,3IJX,2.88,7.882927807
210,4NWU,1.6,7.875081122
211,4XIX,2.7,7.864982647
212,5AXU,1.6,7.864852813
213,7VS7,2.02,7.825079603
214,7F69,1.5,7.817574087
215,5ZK8,3,7.81387992
216,6ELF,1.83,7.810512722
217,4GGZ,1.75,7.804860173
218,6FQU,1.43,7.799851983
219,3DW1,1.03,7.798254749
220,6PYK,1.35,7.797360776
221,1XGI,1.96,7.795381853
222,4D1F,2.7,7.790660383
223,5Z30,2.45,7.766441219
224,3N7C,2.26,7.763761961
225,2BBW,2.05,7.761487567
226,2IWO,1.7,7.761177036
227,2IDT,1,7.753769996
228,7A48,1.55,7.732781968
229,8U1V,2.79,7.730713922
230,1Y0H,1.6,7.724810995
231,5EWI,1.6,7.724144362
232,7S3P,2.89,7.712694099
233,1UX7,1.5,7.705022608
234,1KXZ,2.7,7.682805334
235,8XGL,2.3,7.676793735
236,4J10,1.44,7.66473641
237,4M6J,1.2,7.661514367
238,7BDV,2.02,7.642999195
239,6WFV,1.7,7.630739862
240,7WWO,2.17,7.626625712
241,8VN3,1.63,7.570150897
242,5G2A,2.17,7.556972322
243,2X9Y,2.33,7.544995714
244,5A9P,1.48,7.541206677
245,1NI4,1.95,7.533783401
246,6ITP,1.57,7.527871239
247,3B7V,1.46,7.527235092
248,8GYN,1.38,7.520232893
249,7KPL,2.71,7.515229608
250,7RV4,1.25,7.511348912
251,1LP3,3,7.509420768
252,3KOW,2.9,7.507815083
253,6ON8,2.39,7.485475345
254,4QI1,1.85,7.475315937
255,5GOG,1.98,7.4619933
256,7SH6,1.44,7.44811409
257,6AKK,1.5,7.436379775
258,6Y0E,1.5,7.433839497
259,4P4G,1.7,7.41803851
260,5C5X,2.6,7.361591381
261,7YGW,1.72,7.35968637
262,5UG6,2,7.358899976
263,1GX1,1.8,7.354437862
264,7D6H,1.6,7.350169605
265,8VNK,1.61,7.309422518
266,8TLE,2.08,7.305970823
267,5AYN,2.2,7.298315663
268,7YA7,1.4,7.2965102
269,3X3C,2.3,7.295249
270,6Z8Y,2.78,7.290902062
271,6S7B,2.66,7.258265665
272,1ZVB,1.7,7.255867372
273,4A6A,2.9,7.247197348
274,6TLB,2.85,7.239487096
275,6BQK,1.97,7.234378239
276,6MRR,1.18,7.200892741
277,6ANA,1.7,7.194009354
278,8VN8,1.6,7.166261083
279,8V9W,1.68,7.163988877
280,4OJH,1.6,7.156465191
281,7S51,1.4,7.154717189
282,6Z8T,2.86,7.15375205
283,4P68,2.26,7.152042955
284,6JHZ,2,7.129352828
285,4OD6,1.2,7.128265949
286,3M4G,2.05,7.108039689
287,5ZIH,2.6,7.102636828
288,5IO0,1.3,7.101841714
289,3DC7,2.12,7.088844171
290,7PQR,1.3,7.08706983
291,5IMA,1.04,7.070090159
292,6FF3,2.57,7.069356931
293,3NVL,2.3,7.062080809
294,8CRU,1.3,7.059564383
295,7ZWU,1.56,7.058197454
296,8OIM,1.99,7.050190808
297,3PNM,2.55,7.049552554
298,8Q9P,2.2,7.047586532
299,5KKE,1.7,7.039268151
300,5DKW,2.69,7.036855471
301,1H9K,1.8,7.032599674
302,2WEZ,1.7,7.029666601
303,3WAA,3.2,7.02642607
304,7Q36,2.6,7.022902987
305,5XG5,1.54,7.02260036
306,8VN9,1.69,7.008565358
307,6Q6C,1.3,7.003722483
308,3LL1,0.97,7.000949449
309,4U9N,2.2,6.999362096
310,4QJK,1.59,6.99524416
311,3LDJ,1.7,6.995158785
312,3B64,1.03,6.990305486
313,4N6X,1.05,6.982206359
314,2YAD,2.2,6.97036889
315,5DNL,1.53,6.955124771
316,7JXE,2.04,6.945844175
317,2H1X,1.98,6.945564417
318,6WXO,1.41,6.918219971
319,5JRF,2.5,6.913871401
320,8VNP,1.79,6.895290206
321,8IC9,1.25,6.886116939
322,5B4T,1.19,6.870826028
323,4FY0,3,6.86858972
324,6U4W,1.4,6.864219347
325,2ZPE,1.48,6.864044517
326,8R76,1.18,6.849642295
327,6JDY,1.5,6.843155132
328,7XDY,2.28,6.838968493
329,7LP3,1.61,6.836808582
330,5MME,1.35,6.82946403
331,8VN0,1.6,6.819710138
332,6OR1,2.17,6.816356686
333,4QE0,1.85,6.813326908
334,6ENR,1.84,6.810505226
335,7R8S,1.37,6.80709635
336,6JHP,2.56,6.802219928
337,1ZBF,1.5,6.802199621
338,6KFD,1.55,6.797948321
339,4YST,1.34,6.796742153
340,8BZQ,1.3,6.796346164
341,8DY0,2.1,6.791754749
342,2RHF,1.1,6.790640945
343,2OH5,1.98,6.779364086
344,8D6Z,2.3,6.770632066
345,2JJD,3.2,6.766991276
346,5YHB,2.08,6.765074431
347,8C84,1.9,6.759386426
348,5WUD,1.9,6.757780856
349,4V2N,2.15,6.749440101
350,5NOA,1.26,6.746707235
351,3SO6,1.37,6.738828073
352,2EAQ,1.46,6.738607629
353,5BR5,2,6.738329957
354,8QKF,1.88,6.735067152
355,6J64,0.95,6.718048779
356,7MGS,1.84,6.716728122
357,2FRJ,1.3,6.712738909
358,3CP5,1.24,6.708619649
359,4XNW,2.7,6.708456633
360,2X2P,1.15,6.70431921
361,4MMC,2.3,6.701438804
362,6KUQ,1.91,6.701379659
363,5EQW,1.68,6.698288181
364,3KTR,1.7,6.69431368
365,5O7V,1.28,6.688127645
366,6ZPS,1.79,6.688038778
367,5MCN,2,6.686835156
368,3KBF,1.3,6.684417444
369,8YWD,2.65,6.673739668
370,6L1M,1.7,6.669992232
371,6O44,1.83,6.667692124
372,7GUP,1.8,6.665520144
373,8J8D,1.51,6.652534187
374,1SBX,1.65,6.649584702
375,5N7C,2.45,6.647490392
376,5XM0,2.87,6.637499461
377,6IW1,3.1,6.633636112
378,2ZPF,1.48,6.632262827
379,4B6Q,1.54,6.630866696
380,6KW6,1.89,6.626284443
381,7ABT,1.31,6.625946338
382,3B83,2.4,6.610748762
383,2XT1,1.32,6.600944925
384,6GHG,1.88,6.597495292
385,4EP4,1.28,6.596791418
386,4OUO,1.8,6.594160472
387,1I01,2.6,6.591644781
388,4QF5,2.8,6.588675505
389,5O9H,2.7,6.581993038
390,6DF2,2.6,6.580824025
391,6TR1,1.7,6.577291503
392,8FH7,1.45,6.57227037
393,1XBT,2.4,6.565034399
394,6ELJ,1.9,6.558861333
395,8Z2L,3.04,6.55629517
396,6QH1,2.9,6.555664727
397,3QXL,2.24,6.55484202
398,4IVM,2.77,6.554017817
399,2A65,1.65,6.553227593
400,3IQO,1.5,6.551824981
401,8VMW,1.6,6.548907185
402,7KI5,1.52,6.544973302
403,3MWS,1.09,6.544178582
404,6X38,1.3,6.540040364
405,8T0O,2.3,6.534258317
406,6REL,1.08,6.532895883
407,5YC8,2.5,6.53182091
408,5E7X,1.8,6.527623703
409,2PES,1.6,6.523646217
410,2G30,1.6,6.521234956
411,4IT4,2.5,6.510842139
412,7OJR,3.05,6.505213456
413,6SEP,2.2,6.491274069
414,1P4T,2.55,6.489484354
415,5C3U,1.76,6.484536306
416,5D7U,1.5,6.484192179
417,6RNN,1.95,6.482771
418,4ODV,2.15,6.481025704
419,7MLX,2.09,6.480610231
420,5W1X,3.37,6.475037725
421,6G66,1.6,6.474567891
422,8FK9,2.7,6.474307452
423,6MNQ,1.8,6.474278621
424,6CZS,1.66,6.46474297
425,8E9A,2.69,6.460732079
426,7ZQG,1.8,6.457090057
427,8FRR,1.27,6.456701306
428,4FM0,3.12,6.454846252
429,5AXV,2.04,6.445699202
430,4UXX,2.7,6.435189832
431,7VD7,1.43,6.430675238
432,1IJD,3,6.427302648
433,8CM1,1.46,6.420407267
434,6JB9,1.15,6.413597052
435,7L0G,2.54,6.408893721
436,7NUV,1.76,6.407868894
437,4JZV,2.2,6.387135806
438,7OKJ,1.43,6.386378878
439,3OGV,1.4,6.383230109
440,6VJO,2,6.381389093
441,2I24,1.35,6.380740584
442,7LF8,2.15,6.380377557
443,3S6E,0.95,6.378863496
444,1PL0,2.6,6.373557075
445,2HS2,1.22,6.369600458
446,5OXW,2.61,6.367627181
447,6RIK,1.2,6.365948538
448,1QVE,1.54,6.363696789
449,1QVU,2.96,6.360278562
450,1M21,1.8,6.35965075
451,7K82,2.1,6.357997462
452,5AHC,1.5,6.353620024
453,5NLQ,1.5,6.350629443
454,3AUE,2.28,6.348467116
455,6L0X,1.3,6.346347743
456,4NCW,1.3,6.34514678
457,5EXY,1.55,6.338978799
458,6JFW,2,6.33878172
459,7TAV,2.75,6.338722652
460,7R2L,1.1,6.330945045
461,6ZDV,2.13,6.330619493
462,5G0F,1.9,6.327245742
463,3GWB,1.9,6.316656634
464,4YSR,1.34,6.314896999
465,8GU4,1.5,6.30550174
466,6LJ7,1.16,6.302138177
467,6Z4A,1.46,6.299909562
468,2P0H,1.9,6.299538441
469,6Q1W,1.5,6.29862177
470,4EIS,1.37,6.297543372
471,8ODS,1.91,6.287124776
472,2WLQ,1.4,6.274920384
473,6X8S,1.55,6.273907134
474,6G00,1.4,6.272544386
475,6SZT,1.5,6.268595859
476,5OY2,1.36,6.266999371
477,2HYR,1.51,6.260451984
478,8OJU,1.45,6.258706558
479,5GQN,1.55,6.257850787
480,7JT9,1.93,6.248303632
481,8HLS,2.04,6.244461789
482,5EKG,2.8,6.243546276
483,3ONB,1.45,6.234462885
484,5TZU,2.1,6.218407127
485,7UN4,2.7,6.217807148
486,7ODQ,1.4,6.217282145
487,7YH1,2.69,6.212450576
488,7PYP,1.6,6.192852575
489,4ILA,3.5,6.183385082
490,3EXF,3,6.181606851
491,6CJC,2.58,6.177916617
492,2NU5,1.56,6.175780148
493,6R7D,2.35,6.175235231
494,4E9L,1.9,6.169817963
495,2VEO,2.2,6.167839956
496,3RA4,2.7,6.164194353
497,7RPU,1.27,6.16243827
498,5AOS,1.29,6.160732278
499,6MEG,1.41,6.159192454
500,5B2N,1.58,6.156136263
501,7Y5R,1.56,6.156091759
502,4XC5,2.2,6.155284404
503,7RUQ,1.79,6.150012776
504,8GNE,2.3,6.139062396
505,5D7X,1.35,6.13530315
506,6FY2,2.3,6.133456279
507,5I5I,2.14,6.133102127
508,5JF1,2,6.130762668
509,5A72,2.6,6.129943201
510,6ZZZ,2.54,6.129861048
511,8VN2,1.63,6.128792378
512,4X32,1.9,6.127357674
513,3ILT,2.11,6.127085085
514,4EA5,2.14,6.125338335
515,5AL9,1.37,6.12408332
516,5MOJ,2.26,6.114272871
517,7T8W,3.1,6.109082137
518,7KU1,2.39,6.104374054
519,3DVR,1.02,6.103966788
520,7FD6,1.79,6.097268506
521,8FR1,2,6.091112053
522,5WA8,1.3,6.08801753
523,4OTS,1.7,6.087010261
524,5JEY,2.8,6.085288067
525,5Y0F,1.54,6.074242556
526,7KE1,1.5,6.071266765
527,8X0U,2.65,6.069768785
528,5RPD,1.02,6.069105024
529,5DKA,1.55,6.065332574
530,4RL8,2.3,6.06265445
531,5X67,2.13,6.061103776
532,2PYA,0.86,6.058468307
533,3WO7,3.2,6.054742243
534,4NRZ,2.42,6.054511615
535,6F64,2.49,6.052083772
536,4MQK,2.24,6.048831765
537,4MHX,2,6.041808605
538,4AQL,1.99,6.03488974
539,8VMO,1.68,6.029763721
540,8K4I,1.48,6.027464359
541,5TDA,0.79,6.026479037
542,8R3D,1.71,6.017528967
543,3EII,2.25,6.017349378
544,7T2V,2.47,6.013897764
545,7ZOH,1.56,6.013405176
546,4IEQ,1.4,6.01297756
547,5DNJ,2.3,5.999630437
548,6UQD,2.02,5.992512632
549,1ZYU,2.9,5.992083983
550,4DZD,2,5.982156376
551,5IYN,1.56,5.971064225
552,4GK9,1.9,5.962993475
553,5WA9,1.15,5.959442768
554,5Q0A,2.3,5.954045617
555,5H7A,2.7,5.947564583
556,5ETB,1.33,5.9468581
557,6OTI,2,5.936573492
558,6NV1,2.5,5.933024197
559,6Z2Z,2.55,5.932399196
560,1EEQ,1.5,5.931721455
561,2DY5,2.7,5.929938242
562,4LGS,2.7,5.929493129
563,4D2C,2.47,5.92313632
564,5YXT,1.88,5.921494127
565,4W6X,1.88,5.919230371
566,6U3D,1.75,5.913830935
567,5CUI,2.4,5.913323352
568,2FRK,1.3,5.911544051
569,3KVS,1.5,5.910040404
570,8ZMM,1.3,5.906556415
571,8CR3,1.12,5.905254696
572,5WK4,1.5,5.900778689
573,1G6C,1.4,5.898553903
574,8BI9,1.44,5.897149555
575,6IQZ,1.46,5.895403829
576,6GTP,2.5,5.891055801
577,7GUQ,1.8,5.886574085
578,4S22,2.3,5.886098044
579,4IBN,1.62,5.885402811
580,6WZL,2.29,5.884488801
581,4DNE,1.88,5.884138003
582,7OOR,1.47,5.880969676
583,8C4Z,1.47,5.88067852
584,7A2P,0.9,5.874549187
585,7NFP,1.43,5.873502494
586,2ZFE,2.5,5.872279302
587,8VMP,1.45,5.871878219
588,8YEQ,1.5,5.870819564
589,6O3D,1.4,5.870470155
590,4OTV,1.7,5.868122418
591,3V1D,1.24,5.867587931
592,1VMG,1.46,5.866558051
593,6JDT,1.68,5.865821737
594,4MOM,1.9,5.865597401
595,1J05,1.5,5.864010578
596,7DF6,1.8,5.863904618
597,2HYQ,2,5.859600418
598,6JV7,1.31,5.8549124
599,3V88,2.3,5.854581126
600,7ZQ2,1.6,5.854375866
601,2VKF,1.7,5.851598659
602,2I0C,2.25,5.851463371
603,6X5E,2.29,5.850219234
604,1H9M,1.65,5.847361861
605,2OVJ,1.49,5.846776091
606,8A0V,2.7,5.842378169
607,1C9O,1.17,5.842365667
608,7Q1K,1.36,5.842340595
609,7O2G,2.1,5.838441183
610,6TFL,2.4,5.838016916
611,7XVR,2.4,5.837788711
612,6LJ1,1.15,5.833820114
613,8VMY,1.53,5.829124573
614,4IJE,1.9,5.828251178
615,6MGY,1.6,5.824375345
616,2YOR,2.19,5.823647613
617,2OMI,2.24,5.818739053
618,1UXZ,1.4,5.817731173
619,7E0B,1.29,5.814993667
620,7SKG,1.33,5.811174222
621,6ZXR,2.31,5.810426331
622,3JVW,1.8,5.810417962
623,3GJD,2,5.810343683
624,6EQF,1.7,5.809167206
625,6UDM,3.08,5.807219999
626,4KYB,2.91,5.80620559
627,9HBE,1.19,5.803986941
628,5GWD,1.89,5.802801849
629,7ZND,1.99,5.799585348
630,7TH6,0.97,5.799206993
631,3LUS,1.96,5.799043511
632,8CGA,1.3,5.797534234
633,5JF3,1.6,5.795324179
634,5RD2,1.08,5.790219178
635,4WCZ,1.82,5.786259783
636,5RDG,1.12,5.783727801
637,3T7X,1.27,5.782075828
638,3BY4,1.55,5.782066999
639,2EWU,1.1,5.780316088
640,6UG9,2.74,5.779970292
641,5IM9,1.1,5.77973323
642,7F9J,1.1,5.779101061
643,5BZ6,2.75,5.776595496
644,6CHE,1.1,5.773998477
645,6IZ8,2.7,5.76773403
646,7F61,2.6,5.756012105
647,7RSW,1.32,5.750600841
648,6VC2,1.7,5.748460375
649,5DNX,1.8,5.744338549
650,5N5H,1.3,5.74429768
651,3T5Q,3,5.743960788
652,8SZ2,2.01,5.743156683
653,5O7U,1.15,5.735815125
654,4QID,2.57,5.733877578
655,6JC2,2.65,5.733188258
656,4K8A,2.91,5.73075564
657,3M5I,3,5.730085248
658,7SJS,1.61,5.724443807
659,7UQ1,1.72,5.717521508
660,5J13,2.3,5.715112432
661,4CO2,1.8,5.712375475
662,5RDV,1.08,5.711797753
663,4K07,2.83,5.710335614
664,4WC8,1.91,5.707732365
665,2H2U,2.4,5.706984201
666,6TYK,1.35,5.706564957
667,3TCM,2.71,5.7018319
668,8PKQ,1.7,5.699599454
669,3EYE,1.45,5.698799054
670,6RZ4,2.7,5.693519214
671,6I3Y,2.98,5.692948833
672,4HIZ,1.6,5.69206955
673,7L33,1.45,5.691162362
674,6N22,2.4,5.690405831
675,4CPE,1.06,5.687918919
676,6RF7,2.6,5.687589311
677,6KKK,3.5,5.687386806
678,1PSU,2.2,5.686647939
679,5AHA,1.35,5.686353108
680,8D4V,1.85,5.685019925
681,8PZO,2,5.678480843
682,6WTW,2.86,5.676120508
683,8CGP,2.62,5.674329233
684,7GHM,1.69,5.671682907
685,4RQN,2,5.668279836
686,8IQV,1.91,5.667799501
687,2NUU,2.5,5.667322312
688,4MPV,2.31,5.666656609
689,8P7E,1.5,5.664810122
690,6XCA,1.8,5.664083947
691,4COF,2.97,5.663910441
692,8TUS,2.6,5.662693373
693,7DDR,1.5,5.661049561
694,5XBC,1.25,5.65931778
695,4P4Z,1.31,5.657754976
696,5NJO,1.55,5.655166822
697,2IVY,1.4,5.652577969
698,4L76,2.99,5.651433204
699,4V0H,1.79,5.651155131
700,8VN5,1.65,5.646565764
701,6TL7,1.11,5.645486103
702,7UC8,2.9,5.643743332
703,3K88,2,5.642520587
704,2IUR,1.3,5.642444563
705,6BD0,1.45,5.638475283
706,6Y7L,1.8,5.63800442
707,9EIR,3.5,5.637338932
708,8KB2,1.91,5.634858345
709,8VEZ,2.15,5.633850302
710,5ROQ,1.02,5.630396085
711,2JC2,2.5,5.629220906
712,6PCZ,1.44,5.628217117
713,8VNO,1.7,5.627930059
714,6REI,1.5,5.62699401
715,6D4E,2.8,5.626299261
716,5ER5,1.26,5.623266019
717,7TWD,2.11,5.619974731
718,1NYK,1.31,5.619504695
719,5CTA,1.24,5.617370295
720,5TZM,1.18,5.615679593
721,5ANW,1.37,5.611243874
722,2QTX,2.5,5.608275197
723,7ROV,1.32,5.607192192
724,2A18,2.28,5.60618424
725,5N7L,2.5,5.605303677
726,4XZ3,2.4,5.605119354
727,7ZGV,1.48,5.602381187
728,8GU5,2.02,5.597901974
729,4WSW,2.8,5.597300231
730,7U25,3.19,5.592219001
731,4AM2,1.8,5.591604897
732,3ZK1,2.2,5.591564338
733,5O0B,1.74,5.584834916
734,2ZPG,1.39,5.5835289
735,5XSS,2.09,5.583253761
736,2X29,2.3,5.580581914
737,7PMU,1.89,5.58051796
738,8UOU,1.35,5.580289548
739,3CAY,1.2,5.580183311
740,2FS2,2,5.577960546
741,2HDO,1.5,5.57238197
742,2ZFH,2.05,5.571835292
743,6YB2,1.18,5.567961474
744,6RF0,3,5.564458497
745,3VNB,1.5,5.561905881
746,3PKN,1.8,5.556489669
747,3VFK,2.8,5.555054849
748,6MFA,1.75,5.553824977
749,2V7F,1.15,5.545622914
750,8RQY,2.04,5.543747813
751,1BYZ,0.9,5.543148454
752,7QFU,1.45,5.542942022
753,6GDJ,1.5,5.540879025
754,3A6Q,1.4,5.540721203
755,6ZMP,1.57,5.540560447
756,8VF3,1.47,5.540192759
757,6JF5,2,5.538595034
758,6UH3,2.7,5.536427653
759,6RIX,1.65,5.532255157
760,7E2K,2.04,5.527179922
761,2ID7,1.75,5.526580799
762,4OPS,1.76,5.52513256
763,5HTY,2.81,5.524627832
764,8D39,1.27,5.52086543
765,4TSE,2.06,5.520774808
766,2OB3,1.04,5.520635566
767,4IH0,1.75,5.520117998
768,3FO2,2.18,5.516881195
769,4CG0,1.36,5.516100875
770,4RBV,3.1,5.51441213
771,1XMT,1.15,5.512095353
772,3ULD,1.6,5.511664654
773,4YSU,1.5,5.509277179
774,3WR5,2.14,5.508516728
775,3UTW,2.4,5.506483059
776,5IVT,1.15,5.505252772
777,7RPB,1.97,5.505157343
778,6DP3,1.46,5.503192227
779,3DP4,2.11,5.500504484
780,4XIH,2.25,5.499966712
781,9D34,1.42,5.49932238
782,5JK4,1.1,5.495764679
783,6U22,1.42,5.494150751
784,6H49,1.8,5.493251646
785,5E4Y,2.8,5.489883233
786,6C89,1.75,5.476170869
787,3VI0,2.3,5.475417679
788,2ZNW,2.71,5.473864036
789,6TCS,2.3,5.47343476
790,5E80,2.6,5.469535171
791,5NLP,1.59,5.469209082
792,4FFY,2.5,5.458918928
793,4A21,2.35,5.454225263
794,8FT9,2.74,5.447231042
795,5IUC,1.25,5.444516461
796,7AJR,1.75,5.444059802
797,2PVB,0.91,5.443709412
798,6VBP,2.3,5.442266471
799,3B2Y,1.74,5.439930304
800,7O9H,2.4,5.439865846
801,2IT6,1.95,5.437831609
802,4KTU,1.35,5.437292065
803,2QAP,1.59,5.435004883
804,7GUL,1.8,5.434007673
805,2FL0,2.7,5.433141906
806,5IN4,1.6,5.432991153
807,7PYI,2.05,5.431476735
808,5YJ0,1.8,5.428368343
809,5RPS,1.04,5.425306332
810,5ISA,2.4,5.425222259
811,5YPI,2.3,5.423732591
812,6V8V,1.8,5.421977203
813,2QVK,1.45,5.421813648
814,8VBP,2.8,5.421222857
815,5NES,1.61,5.419058524
816,5U9T,1.92,5.4164777
817,8HP7,1.43,5.415294647
818,7DZV,1.6,5.410961205
819,7KFW,2.79,5.410072777
820,2F81,1.25,5.409734325
821,6OOM,2.2,5.407757824
